Municipio;Initial;Final;PS;PVI;LS;LVI;AL;Lechoso;Consistente;Maduro
Santiago Xanica;06/06/2016;12/06/2016;3.3;NA;0.5;NA;1.3;1100;0;0
San Miguel Puerto;06/06/2016;12/06/2016;3.7;1;0.5;4.6;3;415;0;0
San Mateo Piñas;04/05/2015;10/05/2015;22.3;16.4;20.4;15.8;NA;NA;NA;NA
San Pedro Pochutla;04/05/2015;10/05/2015;11.6;10.6;5.8;12.4;NA;NA;NA;NA
Candelaria Loxicha;04/05/2015;10/05/2015;7.6;7.4;2.1;2.7;1.3;205;91;0
Pluma Hidalgo;04/05/2015;10/05/2015;5;2.5;1.1;1.1;NA;NA;NA;NA
San Mateo Piñas;11/05/2015;17/05/2015;19.3;10.9;21.3;10.4;2.7;74.5;6.5;0
San Pedro Pochutla;11/05/2015;17/05/2015;8.1;6.9;6;6.6;5.6;96;0;0
Candelaria Loxicha;11/05/2015;17/05/2015;9.4;9.1;2.4;2.5;2.5;368;0;0
Pluma Hidalgo;11/05/2015;17/05/2015;4.4;2.4;2;1.9;4.2;216.7;33.7;0
San Mateo Piñas;18/05/2015;24/05/2015;8.9;6.3;8.6;10;0.2;0;0;0
San Pedro Pochutla;18/05/2015;24/05/2015;7.3;5.6;5.1;4.6;0.1;0;0;0
Pluma Hidalgo;18/05/2015;24/05/2015;4.9;1.3;1.5;1.2;NA;NA;NA;NA
Candelaria Loxicha;18/05/2015;24/05/2015;2.9;NA;0.2;NA;2;367;227;0
San Mateo Piñas;25/05/2015;31/05/2015;12.3;2.9;19.5;4.8;2.3;709;93;0
San Pedro Pochutla;25/05/2015;31/05/2015;16.3;15.1;12;14;5.3;302.5;2;0
Candelaria Loxicha;25/05/2015;31/05/2015;8.9;8.5;2.2;2.8;NA;NA;NA;NA
Pluma Hidalgo;25/05/2015;31/05/2015;3.8;1.2;0.9;0.6;3.6;289.3;55.3;0
San Mateo Piñas;01/06/2015;07/06/2015;5.1;5.8;4.8;7.4;NA;NA;NA;NA
Pluma Hidalgo;01/06/2015;07/06/2015;5.2;2.5;3.1;3.2;NA;NA;NA;NA
San Pedro Pochutla;01/06/2015;07/06/2015;4.3;3.9;2.6;2.6;NA;NA;NA;NA
Candelaria Loxicha;01/06/2015;07/06/2015;6.4;6.6;1;0.8;2.9;483;217.5;0
San Mateo Piñas;15/06/2015;21/06/2015;3.1;3.3;4;5.3;NA;NA;NA;NA
Candelaria Loxicha;15/06/2015;21/06/2015;6.4;2.1;1.3;0.9;NA;NA;NA;NA
