Municipality,Initial,Final,PS,PVI,LS,LVI,AL,Lechoso,Consistente,Maduro
Yajalon,26/10/2015,01/11/2015,26.9,4.8,16.5,4.9,-,-,-,-
Huixtla,26/10/2015,01/11/2015,17.6,3.7,12.9,3.8,-,-,-,-
Tumbala,26/10/2015,01/11/2015,15.7,2.8,9.2,1.5,-,-,-,-
Tila,26/10/2015,01/11/2015,15.8,3.1,8.5,2.2,-,-,-,-
Tuzantan,26/10/2015,01/11/2015,8.5,4.6,7.9,7.4,-,-,-,-
Ocotepec,26/10/2015,01/11/2015,12.8,1.8,7.6,0.9,-,-,-,-
Ixhuatan,26/10/2015,01/11/2015,15.4,2.4,7.2,1.0,-,-,-,-
Tapilula,26/10/2015,01/11/2015,15.0,0.8,6.9,3.2,-,-,-,-
Cacahoatan,26/10/2015,01/11/2015,6.1,6.8,5.8,11.6,-,-,-,-
Amatan,26/10/2015,01/11/2015,13.8,2.0,4.4,2.0,-,-,-,-
Tapachula,26/10/2015,01/11/2015,7.5,4.2,4.1,2.2,-,-,-,-
Union Juarez,26/10/2015,01/11/2015,9.6,6.1,3.8,2.7,-,-,-,-
Villa Comaltitlan,26/10/2015,01/11/2015,5.9,5.1,3.6,3.4,-,-,-,-
San Juan Cancuc,26/10/2015,01/11/2015,6.8,-,3.5,,-,-,-,-
Huitiupan,26/10/2015,01/11/2015,8.6,6.0,3.1,1.6,-,-,-,-
Simojovel de Allende,26/10/2015,01/11/2015,8.3,5.7,2.7,2.2,-,-,-,-
Escuintla,26/10/2015,01/11/2015,4.2,2.2,1.0,0.7,-,-,-,-
Tuxtla Chico,26/10/2015,01/11/2015,0.0,0.1,0.0,0.0,-,-,-,-
El Bosque,26/10/2015,01/11/2015,0.1,-,0.0,,-,-,-,-
Tecpatan,26/10/2015,01/11/2015,0.0,0.0,0.0,0.0,-,-,-,-
Villa Corzo,03/11/2014,09/10/2014,59.6,2.0,70.0,62.8,5.9,0.0,28.0,6.0
Angel Albino Corzo,03/11/2014,09/10/2014,57.8,0.0,70.0,59.5,7.7,0.0,340.0,24.0
San Juan Cancuc,03/11/2014,09/10/2014,50.6,0.0,70.0,33.0,5.2,1.0,6.0,0.0
Motozintla,03/11/2014,09/10/2014,40.5,0.0,70.0,32.4,2.9,0.0,5.5,6.0
Chenalhe,03/11/2014,09/10/2014,52.2,0.0,70.0,28.3,2.8,2.0,13.0,0.0
Siltepec,03/11/2014,09/10/2014,30.8,0.0,70.0,27.8,6.2,9.0,129.0,0.0
Chilon,03/11/2014,09/10/2014,39.7,0.0,70.0,22.4,4.3,0.0,82.0,6.0
El Bosque,03/11/2014,09/10/2014,43.1,0.0,70.0,20.6,1.4,0.0,0.0,1.0
Tumbala,03/11/2014,09/10/2014,26.7,0.0,70.0,20.4,2.6,0.0,95.0,20.0
Tila,03/11/2014,09/10/2014,26.6,0.0,70.0,19.7,2.8,0.0,37.5,5.0
Yajalon,03/11/2014,09/10/2014,27.7,0.0,70.0,17.7,2.1,0.0,0.0,0.0
Cacahoatan,03/11/2014,09/10/2014,22.6,0.0,70.0,17.6,3.6,0.0,15.5,9.8
Villa Comaltitlan,03/11/2014,09/10/2014,18.5,0.0,70.0,17.4,3.4,1.0,4.0,16.5
Amatenango de la Frontera,03/11/2014,09/10/2014,20.0,2.0,70.0,17.2,-,-,-,-
Tuzantan,03/11/2014,09/10/2014,16.5,0.0,70.0,17.2,4.9,0.0,24.0,13.5
Huixtla,03/11/2014,09/10/2014,17.8,0.0,70.0,16.4,2.4,0.0,0.0,3.0
Chicomuselo,03/11/2014,09/10/2014,17.1,2.0,70.0,14.7,8.0,0.0,83.0,2.0
Bella Vista,03/11/2014,09/10/2014,18.6,2.0,70.0,14.6,7.6,0.0,84.0,4.0
Tapachula,03/11/2014,09/10/2014,19.3,0.0,70.0,13.7,4.3,0.0,65.6,84.0
Ocotepec,03/11/2014,09/10/2014,22.1,0.5,70.0,8.6,1.0,0.0,10.0,0.0
Tapilula,03/11/2014,09/10/2014,16.6,2.0,45.0,8.6,8.7,0.0,2.0,1.0
Ixhuatan,03/11/2014,09/10/2014,17.4,0.0,70.0,7.9,6.3,67.0,233.5,1.0
Union Juarez,03/11/2014,09/10/2014,8.4,0.0,70.0,6.9,5.2,0.0,152.5,61.5
Amatan,03/11/2014,09/10/2014,20.4,0.0,70.0,6.8,3.1,0.0,0.0,0.0
Huitiupan,03/11/2014,09/10/2014,15.2,0.0,70.0,5.8,2.4,0.0,26.0,45.0
Simojovel de Allende,03/11/2014,09/10/2014,17.6,0.0,45.0,4.8,1.2,0.0,52.0,24.5
Escuintla,03/11/2014,09/10/2014,17.2,0.0,7.0,2.9,3.0,191.3,159.7,69.3
Tecpatan,03/11/2014,09/10/2014,3.8,0.0,20.0,1.4,1.0,0.0,10.0,0.0
Tuxtla Chico,03/11/2014,09/10/2014,0.8,0.0,2.0,0.0,0.1,0.0,697.0,10.0
Villa Corzo,02/11/2015,08/11/2015,43.0,-,45.2,,22.6,0.0,67.0,0.0
Bella Vista,02/11/2015,08/11/2015,22.7,5.2,38.9,10.3,9.1,0.0,134.0,148.0
Siltepec,02/11/2015,08/11/2015,27.8,0.6,33.6,1.4,12.9,0.0,327.0,0.0
Angel Albino Corzo,02/11/2015,08/11/2015,30.5,13.1,24.3,14.9,9.8,0.0,297.5,0.0
Motozintla,02/11/2015,08/11/2015,24.8,9.5,19.6,15.1,6.2,0.0,1.5,3.5
Chicomuselo,02/11/2015,08/11/2015,9.1,6.9,19.1,14.1,4.7,0.0,18.0,20.0
Yajalon,02/11/2015,08/11/2015,26.0,-,19.0,,3.1,0.0,173.0,40.0
Chilon,02/11/2015,08/11/2015,25.0,26.8,17.7,23.7,2.7,0.0,62.5,9.0
Amatenango de la Frontera,02/11/2015,08/11/2015,11.2,11.0,14.5,14.6,4.9,0.0,70.0,21.0
Tuzantan,02/11/2015,08/11/2015,8.8,7.3,12.7,15.6,7.7,7.5,20.5,47.0
Huixtla,02/11/2015,08/11/2015,18.4,3.2,11.7,6.0,2.8,0.0,0.0,7.5
Cacahoatan,02/11/2015,08/11/2015,6.4,9.8,11.4,17.5,3.9,3.5,9.5,11.0
Tila,02/11/2015,08/11/2015,14.4,8.7,11.1,8.9,3.6,0.0,71.0,7.5
Tapilula,02/11/2015,08/11/2015,15.9,-,9.7,,7.8,0.0,4.0,0.0
Villa Comaltitlan,02/11/2015,08/11/2015,11.4,4.6,9.2,5.2,5.0,0.0,2.5,11.0
Ocotepec,02/11/2015,08/11/2015,11.3,-,8.3,,0.9,13.0,24.0,0.0
Amatan,02/11/2015,08/11/2015,15.2,-,7.9,,4.8,0.0,15.0,2.0
Chenalhe,02/11/2015,08/11/2015,9.7,-,6.4,,4.3,16.0,48.0,12.0
Tumbala,02/11/2015,08/11/2015,8.7,-,6.1,,2.6,1.0,74.0,2.0
Ixhuatan,02/11/2015,08/11/2015,11.3,4.2,4.8,0.5,6.2,0.0,210.0,3.5
Tapachula,02/11/2015,08/11/2015,6.9,4.0,4.2,2.8,3.5,0.0,119.6,290.0
Huitiupan,02/11/2015,08/11/2015,5.4,-,4.2,,3.1,0.0,61.0,31.0
San Juan Cancuc,02/11/2015,08/11/2015,7.7,-,4.1,,4.7,8.0,61.0,0.0
Union Juarez,02/11/2015,08/11/2015,9.1,4.0,3.5,2.0,4.1,2.0,40.0,7.5
Simojovel de Allende,02/11/2015,08/11/2015,4.8,-,2.7,,0.5,0.0,112.0,0.0
Escuintla,02/11/2015,08/11/2015,4.9,2.1,1.0,0.5,1.4,0.0,750.3,141.0
El Bosque,02/11/2015,08/11/2015,0.1,-,0.0,,0.0,14.0,381.0,6.0
Tecpatan,02/11/2015,08/11/2015,0.0,-,0.0,,0.0,25.0,15.0,0.0
Villa Corzo,10/11/2014,16/11/2014,59.7,0.6,62.5,1.7,-,-,-,-
Angel Albino Corzo,10/11/2014,16/11/2014,58.2,4.7,61.6,5.5,-,-,-,-
Motozintla,10/11/2014,16/11/2014,41.4,10.2,34.7,16.7,-,-,-,-
San Juan Cancuc,10/11/2014,16/11/2014,56.2,7.6,28.3,4.6,-,-,-,-
Siltepec,10/11/2014,16/11/2014,33.1,2.1,28.1,2.8,-,-,-,-
Tumbala,10/11/2014,16/11/2014,32.2,9.7,26.3,8.8,-,-,-,-
Amatenango de la Frontera,10/11/2014,16/11/2014,24.8,16.4,23.1,7.5,-,-,-,-
Chicomuselo,10/11/2014,16/11/2014,22.3,13.8,22.7,6.6,-,-,-,-
Bella Vista,10/11/2014,16/11/2014,24.9,7.4,21.7,6.0,-,-,-,-
Chenalhe,10/11/2014,16/11/2014,46.9,18.1,20.2,6.9,-,-,-,-
Chilon,10/11/2014,16/11/2014,38.3,5.1,18.8,4.8,-,-,-,-
Yajalon,10/11/2014,16/11/2014,31.6,12.4,18.1,7.0,-,-,-,-
El Bosque,10/11/2014,16/11/2014,45.4,27.2,18.0,8.9,-,-,-,-
Huixtla,10/11/2014,16/11/2014,19.8,6.1,17.8,3.9,-,-,-,-
Tapachula,10/11/2014,16/11/2014,23.5,13.8,15.1,9.2,-,-,-,-
Cacahoatan,10/11/2014,16/11/2014,20.6,12.2,15.0,15.6,-,-,-,-
Tuzantan,10/11/2014,16/11/2014,10.9,9.5,14.9,23.8,-,-,-,-
Villa Comaltitlan,10/11/2014,16/11/2014,14.5,12.7,14.5,18.5,-,-,-,-
Tuxtla Chico,10/11/2014,16/11/2014,14.6,27.3,12.3,24.6,-,-,-,-
Tila,10/11/2014,16/11/2014,15.9,12.7,12.1,9.9,-,-,-,-
Huitiupan,10/11/2014,16/11/2014,20.1,13.3,10.6,12.2,-,-,-,-
Tapilula,10/11/2014,16/11/2014,16.6,0.6,8.7,0.4,-,-,-,-
Amatan,10/11/2014,16/11/2014,15.9,1.2,8.4,0.6,-,-,-,-
Ixhuatan,10/11/2014,16/11/2014,16.7,2.1,7.7,1.1,-,-,-,-
Union Juarez,10/11/2014,16/11/2014,12.1,8.4,7.7,5.5,-,-,-,-
Ocotepec,10/11/2014,16/11/2014,19.6,3.3,7.3,1.5,-,-,-,-
Simojovel de Allende,10/11/2014,16/11/2014,16.6,5.6,4.4,2.7,-,-,-,-
Escuintla,10/11/2014,16/11/2014,16.3,7.6,2.4,1.3,-,-,-,-
Tecpatan,10/11/2014,16/11/2014,0.0,0.0,0.0,0.0,-,-,-,-
Villa Corzo,17/11/2014,23/11/2014,60.0,0.0,62.4,0.8,4.3,0.0,14.0,11.0
Angel Albino Corzo,17/11/2014,23/11/2014,51.3,20.9,53.5,22.4,5.9,0.0,320.0,32.0
Motozintla,17/11/2014,23/11/2014,43.4,9.0,34.9,16.9,2.6,0.0,0.0,11.5
Amatenango de la Frontera,17/11/2014,23/11/2014,28.5,12.6,30.2,5.1,10.0,0.0,45.0,28.0
Siltepec,17/11/2014,23/11/2014,32.5,3.3,28.9,2.5,6.2,9.0,129.0,0.0
Bella Vista,17/11/2014,23/11/2014,20.3,4.2,24.9,8.0,5.4,0.0,65.0,9.0
Tila,17/11/2014,23/11/2014,30.7,11.5,24.9,7.3,2.6,0.0,27.5,5.0
Chicomuselo,17/11/2014,23/11/2014,19.6,8.3,23.2,3.7,7.2,0.0,66.0,17.0
Tumbala,17/11/2014,23/11/2014,27.4,9.7,22.8,5.9,2.5,0.0,45.0,42.0
Chenalhe,17/11/2014,23/11/2014,52.2,15.7,18.7,4.0,1.8,2.0,11.0,0.0
Cacahoatan,17/11/2014,23/11/2014,23.2,16.9,18.4,20.0,3.6,0.0,14.8,9.3
Tapachula,17/11/2014,23/11/2014,23.7,16.6,18.2,14.3,4.8,0.2,6.8,21.2
Yajalon,17/11/2014,23/11/2014,26.6,12.4,18.2,6.7,1.7,0.0,0.0,0.0
Chilon,17/11/2014,23/11/2014,31.1,9.2,17.4,4.6,3.3,0.0,68.5,5.0
San Juan Cancuc,17/11/2014,23/11/2014,36.1,19.7,17.3,12.2,4.1,0.0,7.0,0.0
Huixtla,17/11/2014,23/11/2014,18.0,9.2,17.1,6.7,2.6,0.0,0.0,4.0
Villa Comaltitlan,17/11/2014,23/11/2014,14.5,9.9,13.1,14.4,2.7,0.0,3.0,13.0
Tuzantan,17/11/2014,23/11/2014,15.1,7.3,12.7,15.6,5.0,0.0,11.5,38.0
El Bosque,17/11/2014,23/11/2014,27.4,28.2,8.4,7.8,1.6,0.0,0.0,2.0
Ocotepec,17/11/2014,23/11/2014,20.6,3.5,8.3,1.7,1.0,0.0,10.0,0.0
Union Juarez,17/11/2014,23/11/2014,10.8,7.7,8.2,8.0,4.8,0.0,71.5,67.5
Tapilula,17/11/2014,23/11/2014,15.8,1.0,7.1,0.8,8.6,0.0,2.0,0.0
Ixhuatan,17/11/2014,23/11/2014,15.8,2.0,7.0,0.6,6.2,0.0,156.0,10.0
Amatan,17/11/2014,23/11/2014,17.3,1.8,6.9,1.8,3.7,0.0,0.0,0.0
Simojovel de Allende,17/11/2014,23/11/2014,18.1,7.1,5.5,3.0,0.9,0.0,209.0,93.0
Huitiupan,17/11/2014,23/11/2014,14.9,5.7,5.3,1.8,2.5,0.0,0.0,52.0
Escuintla,17/11/2014,23/11/2014,14.6,8.0,2.4,1.4,3.0,50.7,124.0,108.0
Tuxtla Chico,17/11/2014,23/11/2014,4.7,9.4,1.8,3.7,0.1,0.0,762.0,181.0
Tecpatan,17/11/2014,23/11/2014,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0
Siltepec,16/11/2015,22/11/2015,46.7,-,62.6,,7.3,0.0,255.0,55.0
Villa Corzo,16/11/2015,22/11/2015,48.6,-,49.4,,21.6,0.0,42.0,26.0
Bella Vista,16/11/2015,22/11/2015,34.8,-,44.2,,4.5,0.0,111.0,94.0
Tuzantan,16/11/2015,22/11/2015,15.9,2.3,36.6,1.4,7.3,0.0,0.0,0.0
Angel Albino Corzo,16/11/2015,22/11/2015,34.1,36.6,26.5,34.4,10.5,0.0,261.0,36.0
Motozintla,16/11/2015,22/11/2015,29.9,8.7,22.5,1.9,6.1,0.0,4.5,8.5
Chilon,16/11/2015,22/11/2015,26.0,32.2,19.2,26.1,1.7,0.0,49.0,7.5
Chenalhe,16/11/2015,22/11/2015,12.3,-,17.4,,4.4,43.0,46.0,11.0
Huixtla,16/11/2015,22/11/2015,24.8,5.4,16.4,8.3,2.9,0.0,0.0,5.5
Amatenango de la Frontera,16/11/2015,22/11/2015,11.0,-,15.9,,8.5,0.0,25.0,92.0
Cacahoatan,16/11/2015,22/11/2015,9.6,8.9,14.1,19.5,3.2,0.0,23.3,19.8
Tila,16/11/2015,22/11/2015,15.2,9.8,13.0,9.3,2.7,0.0,54.0,2.5
Chicomuselo,16/11/2015,22/11/2015,9.8,-,10.4,,5.1,0.0,8.0,9.0
Tapilula,16/11/2015,22/11/2015,15.9,-,9.7,,7.8,0.0,4.0,0.0
Ocotepec,16/11/2015,22/11/2015,11.3,-,8.0,,0.9,13.0,24.0,0.0
Villa Comaltitlan,16/11/2015,22/11/2015,8.6,3.7,7.6,2.4,5.1,0.0,0.0,2.0
Amatan,16/11/2015,22/11/2015,15.8,-,7.2,,4.8,0.0,15.0,2.0
Tumbala,16/11/2015,22/11/2015,8.7,-,6.1,,2.8,1.0,67.0,8.0
Yajalon,16/11/2015,22/11/2015,9.4,-,5.7,,2.4,0.0,131.0,18.0
Tapachula,16/11/2015,22/11/2015,5.8,4.7,5.3,4.6,3.6,0.0,97.6,214.0
Union Juarez,16/11/2015,22/11/2015,13.4,12.2,5.2,3.0,4.0,0.5,47.5,10.0
Huitiupan,16/11/2015,22/11/2015,5.4,-,5.1,,-,-,-,-
Ixhuatan,16/11/2015,22/11/2015,11.2,4.3,4.8,0.5,6.2,0.0,210.0,3.5
San Juan Cancuc,16/11/2015,22/11/2015,8.2,-,4.2,,5.2,17.0,61.0,0.0
Simojovel de Allende,16/11/2015,22/11/2015,4.8,-,3.9,,-,-,-,-
Escuintla,16/11/2015,22/11/2015,2.3,1.8,1.1,1.1,1.5,0.0,714.7,0.0
Tuxtla Chico,16/11/2015,22/11/2015,0.2,-,0.0,,0.0,0.0,1003.0,225.0
Tecpatan,16/11/2015,22/11/2015,0.0,-,0.0,,0.0,25.0,15.0,0.0
El Bosque,16/11/2015,22/11/2015,0.1,-,0.0,,0.0,16.0,381.0,6.0
Villa Corzo,24/11/2014,30/11/2014,60.0,0.0,62.2,2.7,-,-,-,-
Angel Albino Corzo,24/11/2014,30/11/2014,58.8,3.2,61.7,5.6,-,-,-,-
Bella Vista,24/11/2014,30/11/2014,25.3,4.1,35.5,5.6,-,-,-,-
Amatenango de la Frontera,24/11/2014,30/11/2014,24.8,7.3,34.9,4.4,-,-,-,-
Motozintla,24/11/2014,30/11/2014,42.1,10.2,34.2,17.1,-,-,-,-
Siltepec,24/11/2014,30/11/2014,32.7,4.3,28.3,3.3,-,-,-,-
Chicomuselo,24/11/2014,30/11/2014,18.0,7.9,28.3,8.0,-,-,-,-
Huixtla,24/11/2014,30/11/2014,25.7,9.4,22.2,5.4,-,-,-,-
Chenalhe,24/11/2014,30/11/2014,47.8,15.1,20.9,3.9,-,-,-,-
Tapachula,24/11/2014,30/11/2014,26.1,16.0,20.4,15.1,-,-,-,-
San Juan Cancuc,24/11/2014,30/11/2014,53.1,12.8,20.1,3.4,-,-,-,-
Chilon,24/11/2014,30/11/2014,27.8,4.1,18.7,5.1,-,-,-,-
El Bosque,24/11/2014,30/11/2014,46.0,28.0,18.6,10.2,-,-,-,-
Tila,24/11/2014,30/11/2014,21.5,6.5,17.1,2.6,-,-,-,-
Cacahoatan,24/11/2014,30/11/2014,21.1,16.3,16.5,19.1,-,-,-,-
Villa Comaltitlan,24/11/2014,30/11/2014,17.0,12.4,16.1,16.4,-,-,-,-
Tuzantan,24/11/2014,30/11/2014,15.8,7.2,15.9,18.3,-,-,-,-
Tumbala,24/11/2014,30/11/2014,21.4,4.7,15.2,4.0,-,-,-,-
Yajalon,24/11/2014,30/11/2014,22.0,11.0,12.9,5.7,-,-,-,-
Ocotepec,24/11/2014,30/11/2014,19.6,1.7,8.3,1.0,-,-,-,-
Tapilula,24/11/2014,30/11/2014,15.6,1.4,7.1,0.8,-,-,-,-
Ixhuatan,24/11/2014,30/11/2014,16.0,1.9,7.0,0.3,-,-,-,-
Union Juarez,24/11/2014,30/11/2014,8.6,9.2,6.1,6.4,-,-,-,-
Amatan,24/11/2014,30/11/2014,14.9,1.7,5.7,3.6,-,-,-,-
Huitiupan,24/11/2014,30/11/2014,12.8,4.9,3.7,3.1,-,-,-,-
Simojovel de Allende,24/11/2014,30/11/2014,15.1,5.4,3.3,2.4,-,-,-,-
Escuintla,24/11/2014,30/11/2014,15.7,8.4,2.6,1.6,-,-,-,-
Tuxtla Chico,24/11/2014,30/11/2014,4.6,9.1,1.1,2.2,-,-,-,-
Tecpatan,24/11/2014,30/11/2014,0.0,0.0,0.0,0.0,-,-,-,-
Siltepec,23/11/2015,29/11/2015,51.6,-,63.0,,-,-,-,-
Villa Corzo,23/11/2015,29/11/2015,52.6,-,52.7,,-,-,-,-
Tuzantan,23/11/2015,29/11/2015,15.8,2.4,48.6,2.1,-,-,-,-
Bella Vista,23/11/2015,29/11/2015,36.6,-,43.4,,-,-,-,-
Angel Albino Corzo,23/11/2015,29/11/2015,34.6,36.0,25.5,32.2,-,-,-,-
Motozintla,23/11/2015,29/11/2015,34.3,3.3,25.2,1.4,-,-,-,-
Chicomuselo,23/11/2015,29/11/2015,12.0,-,20.7,,-,-,-,-
Cacahoatan,23/11/2015,29/11/2015,14.0,10.3,20.4,25.4,-,-,-,-
Chilon,23/11/2015,29/11/2015,26.3,32.6,17.5,23.8,-,-,-,-
San Juan Cancuc,23/11/2015,29/11/2015,27.0,-,16.2,,-,-,-,-
Chenalhe,23/11/2015,29/11/2015,12.6,-,16.0,,-,-,-,-
Huixtla,23/11/2015,29/11/2015,21.9,4.8,13.4,5.5,-,-,-,-
Tila,23/11/2015,29/11/2015,18.9,14.7,12.1,8.3,-,-,-,-
Villa Comaltitlan,23/11/2015,29/11/2015,9.6,3.1,11.5,4.8,-,-,-,-
Amatenango de la Frontera,23/11/2015,29/11/2015,11.6,-,11.1,,-,-,-,-
Tumbala,23/11/2015,29/11/2015,12.9,2.5,9.4,3.4,-,-,-,-
Amatan,23/11/2015,29/11/2015,16.0,-,6.9,,-,-,-,-
Ocotepec,23/11/2015,29/11/2015,11.1,-,6.6,,-,-,-,-
Tapilula,23/11/2015,29/11/2015,11.8,-,6.6,,-,-,-,-
Tapachula,23/11/2015,29/11/2015,5.8,5.5,5.2,3.9,-,-,-,-
Union Juarez,23/11/2015,29/11/2015,11.2,4.2,5.1,3.6,-,-,-,-
Yajalon,23/11/2015,29/11/2015,8.9,-,4.1,,-,-,-,-
Huitiupan,23/11/2015,29/11/2015,5.5,-,3.7,,-,-,-,-
Simojovel de Allende,23/11/2015,29/11/2015,4.8,-,3.5,,-,-,-,-
Ixhuatan,23/11/2015,29/11/2015,9.4,1.7,3.5,0.8,-,-,-,-
Escuintla,23/11/2015,29/11/2015,2.4,1.8,0.9,0.7,-,-,-,-
Tuxtla Chico,23/11/2015,29/11/2015,0.2,-,0.0,,-,-,-,-
El Bosque,23/11/2015,29/11/2015,0.1,-,0.0,,-,-,-,-
Tecpatan,23/11/2015,29/11/2015,0.0,-,0.0,,-,-,-,-
Angel Albino Corzo,01/12/2014,07/12/2014,59.9,0.3,61.5,2.4,9.8,0.0,42.0,1.0
Villa Corzo,01/12/2014,07/12/2014,60.0,0.0,58.8,0.6,3.3,0.0,10.0,15.0
Chicomuselo,01/12/2014,07/12/2014,22.0,7.9,38.7,7.4,5.9,0.0,21.0,62.0
Bella Vista,01/12/2014,07/12/2014,27.7,4.2,38.4,5.3,3.9,0.0,60.0,29.0
San Juan Cancuc,01/12/2014,07/12/2014,58.3,2.6,36.3,3.2,3.3,1.0,7.0,0.0
Siltepec,01/12/2014,07/12/2014,34.9,4.4,35.8,3.6,6.0,9.0,128.0,0.0
Motozintla,01/12/2014,07/12/2014,41.7,10.8,35.3,16.5,2.2,0.0,0.0,0.0
Amatenango de la Frontera,01/12/2014,07/12/2014,26.1,2.8,32.2,7.1,6.8,0.0,20.0,0.0
Huixtla,01/12/2014,07/12/2014,33.0,9.9,28.5,6.6,2.5,0.0,0.0,0.5
Chenalhe,01/12/2014,07/12/2014,50.2,15.6,26.4,3.5,1.5,1.0,4.0,0.0
Tila,01/12/2014,07/12/2014,26.1,7.4,22.1,2.3,2.9,0.0,23.0,7.5
Villa Comaltitlan,01/12/2014,07/12/2014,24.4,9.2,21.5,8.4,2.3,0.0,1.0,3.0
Tuzantan,01/12/2014,07/12/2014,19.6,12.8,21.0,22.3,4.4,0.0,82.0,214.3
Tapachula,01/12/2014,07/12/2014,26.3,17.0,20.9,15.4,5.1,0.0,1.2,3.6
El Bosque,01/12/2014,07/12/2014,45.7,28.6,19.7,12.4,1.2,0.0,0.0,2.0
Chilon,01/12/2014,07/12/2014,24.8,4.0,18.4,3.8,2.8,0.0,41.0,26.5
Tumbala,01/12/2014,07/12/2014,26.2,8.9,18.2,2.8,2.6,0.0,16.0,21.0
Yajalon,01/12/2014,07/12/2014,21.8,9.3,18.0,7.2,1.8,0.0,0.0,0.0
Cacahoatan,01/12/2014,07/12/2014,20.8,19.6,17.7,22.9,3.5,0.0,6.0,10.8
Union Juarez,01/12/2014,07/12/2014,10.8,9.0,8.8,8.7,4.6,0.0,39.5,38.0
Amatan,01/12/2014,07/12/2014,19.0,5.4,6.5,3.0,3.3,0.0,0.0,0.0
Ocotepec,01/12/2014,07/12/2014,19.4,3.6,5.8,1.4,1.2,0.0,10.0,0.0
Tapilula,01/12/2014,07/12/2014,14.0,2.9,5.6,2.0,7.7,0.0,0.0,3.0
Ixhuatan,01/12/2014,07/12/2014,14.5,3.0,5.5,1.3,5.3,0.0,69.0,35.5
Escuintla,01/12/2014,07/12/2014,16.7,10.6,3.6,3.0,2.2,24.7,76.0,83.3
Huitiupan,01/12/2014,07/12/2014,12.9,5.9,3.4,3.5,1.3,0.0,0.0,10.0
Simojovel de Allende,01/12/2014,07/12/2014,16.8,6.2,3.1,1.4,0.8,0.0,76.5,172.0
Tuxtla Chico,01/12/2014,07/12/2014,5.2,4.1,0.1,0.0,0.1,0.0,529.0,179.0
Tecpatan,01/12/2014,07/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
Villa Corzo,08/12/2014,14/12/2014,60.0,0.0,60.5,1.0,-,-,-,-
Angel Albino Corzo,08/12/2014,14/12/2014,58.8,3.2,59.7,4.9,-,-,-,-
Amatenango de la Frontera,08/12/2014,14/12/2014,35.8,6.1,47.1,4.0,-,-,-,-
Bella Vista,08/12/2014,14/12/2014,38.3,4.3,45.4,2.5,-,-,-,-
Motozintla,08/12/2014,14/12/2014,44.9,8.6,38.4,17.2,-,-,-,-
Chicomuselo,08/12/2014,14/12/2014,28.4,6.6,37.6,2.8,-,-,-,-
Siltepec,08/12/2014,14/12/2014,36.3,4.2,35.6,5.7,-,-,-,-
Huixtla,08/12/2014,14/12/2014,37.5,10.7,31.7,8.4,-,-,-,-
Tapachula,08/12/2014,14/12/2014,28.5,18.1,25.1,17.7,-,-,-,-
San Juan Cancuc,08/12/2014,14/12/2014,20.1,13.3,20.1,11.8,-,-,-,-
Villa Comaltitlan,08/12/2014,14/12/2014,22.8,10.1,19.4,9.9,-,-,-,-
Tila,08/12/2014,14/12/2014,20.4,5.4,17.6,2.8,-,-,-,-
Chilon,08/12/2014,14/12/2014,30.0,8.7,17.4,6.9,-,-,-,-
Tuzantan,08/12/2014,14/12/2014,15.4,8.1,16.9,21.8,-,-,-,-
Chenalhe,08/12/2014,14/12/2014,14.6,6.2,16.8,6.9,-,-,-,-
Tumbala,08/12/2014,14/12/2014,21.0,4.2,16.7,2.3,-,-,-,-
Yajalon,08/12/2014,14/12/2014,25.3,12.0,16.0,8.3,-,-,-,-
Cacahoatan,08/12/2014,14/12/2014,20.3,15.5,15.1,19.2,-,-,-,-
El Bosque,08/12/2014,14/12/2014,14.9,9.3,13.2,8.2,-,-,-,-
Union Juarez,08/12/2014,14/12/2014,17.3,8.9,12.8,6.7,-,-,-,-
Amatan,08/12/2014,14/12/2014,21.3,4.3,8.4,0.7,-,-,-,-
Huitiupan,08/12/2014,14/12/2014,18.9,13.5,7.2,6.6,-,-,-,-
Tapilula,08/12/2014,14/12/2014,13.0,2.2,4.7,1.7,-,-,-,-
Ocotepec,08/12/2014,14/12/2014,17.5,2.4,4.6,0.7,-,-,-,-
Ixhuatan,08/12/2014,14/12/2014,13.5,3.1,4.1,0.8,-,-,-,-
Escuintla,08/12/2014,14/12/2014,18.7,6.9,3.7,1.9,-,-,-,-
Simojovel de Allende,08/12/2014,14/12/2014,15.7,5.1,3.0,1.2,-,-,-,-
Tuxtla Chico,08/12/2014,14/12/2014,1.5,1.7,0.0,0.0,-,-,-,-
Tecpatan,08/12/2014,14/12/2014,0.0,0.0,0.0,0.0,-,-,-,-
Villa Corzo,15/12/2014,21/12/2014,60.0,0.0,58.9,0.5,2.4,0.0,3.0,17.0
Angel Albino Corzo,15/12/2014,21/12/2014,51.4,21.0,50.4,20.9,4.0,0.0,244.5,43.5
Amatenango de la Frontera,15/12/2014,21/12/2014,35.2,7.1,42.2,4.7,5.5,0.0,18.0,3.0
Chicomuselo,15/12/2014,21/12/2014,30.7,10.8,39.3,7.9,5.1,0.0,6.0,30.0
Motozintla,15/12/2014,21/12/2014,45.3,8.8,38.0,16.3,2.0,0.0,0.0,0.0
Siltepec,15/12/2014,21/12/2014,36.7,8.6,37.2,10.6,5.7,9.0,87.0,40.0
