NOM_MUN,MUN
Acacoyagua,1
Amatan,5
Amatenango de la Frontera,6
Angel Albino Corzo,8
Bella Vista,11
Berriozabal,12
Cacahoatan,15
Chenalhe,26
Chicomuselo,30
Chilon,31
Cintalapa,17
Coapilla,18
Copainala,21
El Bosque,14
Escuintla,32
Frontera Comalapa,34
Huehuetan,37
Huitiupan,39
Huixtla,40
Ixhuatan,42
Jiquipilas,46
Jitotol,47
La Concordia,20
La Independencia,41
La Trinitaria,99
Las Margaritas,52
Mapastepec,51
Montecristo de Guerrero,117
Motozintla,57
Ocosingo,59
Ocotepec,60
Ocozocoautla de Espinosa,61
Oxchuc,64
Pantelho,66
Pueblo Nuevo Solistahuacan,72
San Fernando,79
San Juan Cancuc,112
Santiago El Pinar,119
Siltepec,80
Simojovel de Allende,81
Sitala,82
Tapachula,89
Tapilula,91
Tecpatan,92
Tenejapa,93
Tila,96
Tumbala,100
Tuxtla Chico,102
Tuzantan,103
Union Juarez,105
Villa Comaltitlan,71
Villa Corzo,107
Villaflores,108
Yajalon,109
