"","id","station","latitude","longitude","month","day","year","date","datenum","id2","Prec","Evap","MeanT","MinT","MaxT"
"1",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1956,"01-Jan-1956",714415,"20003 714415",0,NA,11,2,20
"2",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1957,"01-Jan-1957",714781,"20003 714781",0,NA,15,6,24
"3",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1958,"01-Jan-1958",715146,"20003 715146",0.5,NA,15.5,7,24
"4",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1959,"01-Jan-1959",715511,"20003 715511",0.1,NA,13.75,6.5,21
"5",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1960,"01-Jan-1960",715876,"20003 715876",0,NA,16.5,7,26
"6",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1961,"01-Jan-1961",716242,"20003 716242",0,NA,14.5,4,25
"7",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1962,"01-Jan-1962",716607,"20003 716607",0,NA,15,4,26
"8",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1963,"01-Jan-1963",716972,"20003 716972",0,NA,14.5,7,22
"9",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1964,"01-Jan-1964",717337,"20003 717337",0,NA,13.5,5,22
"10",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1965,"01-Jan-1965",717703,"20003 717703",NA,NA,NA,NA,NA
"11",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1966,"01-Jan-1966",718068,"20003 718068",NA,NA,NA,NA,NA
"12",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1967,"01-Jan-1967",718433,"20003 718433",0,NA,14.5,5,24
"13",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1968,"01-Jan-1968",718798,"20003 718798",0,NA,15,5,25
"14",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1969,"01-Jan-1969",719164,"20003 719164",0,NA,13,7,19
"15",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1970,"01-Jan-1970",719529,"20003 719529",0,NA,17.5,5,30
"16",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1971,"01-Jan-1971",719894,"20003 719894",0,NA,15,5,25
"17",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1972,"01-Jan-1972",720259,"20003 720259",0,NA,15.5,4,27
"18",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1973,"01-Jan-1973",720625,"20003 720625",0,NA,14.5,7,22
"19",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1974,"01-Jan-1974",720990,"20003 720990",0,NA,12,6,18
"20",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1975,"01-Jan-1975",721355,"20003 721355",0,NA,14,3,25
"21",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1976,"01-Jan-1976",721720,"20003 721720",0,NA,13,4,22
"22",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1977,"01-Jan-1977",722086,"20003 722086",0,NA,14.5,7,22
"23",20003,"ASTATLA-OAX",17.9666666667,-97.4236111111,1,1,1978,"01-Jan-1978",722451,"20003 722451",0,NA,18,8,28
